#,#,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,#,#
#,7,##,##,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,##,###,6,#
3,###,###,###,10,4,4,4,4,4,4,20,4,4,4,4,4,4,4,18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,4,4,4,4,4,4,4,18,4,4,4,4,4,4,12,##,###,###,2
3,###,###,###,#,##,##,##,##,6,#,#,#,7,#,#,#,6,#,#,#,7,#,#,#,6,#,#,#,7,#,#,#,6,#,#,#,7,#,#,#,6,#,#,#,7,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,9,#,#,#,11,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,1,1,1,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,4,4,4,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,7,#,#,#,6,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,#,#,#,##,2,#,3,##,##,##,##,##,##,##,###,###,2
3,###,###,###,#,##,##,##,##,##,10,4,12,##,#,#,#,##,10,4,12,##,#,#,#,##,10,4,12,##,#,#,#,##,10,4,12,##,#,#,#,##,10,4,12,##,##,##,##,##,##,##,###,###,2
3,###,###,###,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,##,###,###,2
#,9,###,#,#,#,#,#,#,#,#,19,#,#,#,#,#,#,#,17,#,#,#,#,#,#,#,19,#,#,#,#,#,#,#,17,#,#,#,#,#,#,#,19,#,#,#,#,#,#,#,#,#,11,#
#,#,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
